id,slug,url,titulo,enunciado,temas,dificuldade,tema_principal,has_image,starter_code,stats
1787,make-the-xor-of-all-segments-equal-to-zero,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero/,Make the XOR of All Segments Equal to Zero,"You are given an array  nums ​​​ and an integer  k ​​​​​. The  XOR  of a segment  [left, right]  where  left <= right  is the  XOR  of all the elements with indices between  left  and  right , inclusive:  nums[left] XOR nums[left+1] XOR ... XOR nums[right] . Return  the minimum number of elements to change in the array  such that the  XOR  of all segments of size  k ​​​​​​ is equal to zero.   Example 1: Input:  nums = [1,2,0,3,0], k = 1 Output:  3 Explanation:  Modify the array from [ 1 , 2 ,0, 3 ,0] to from [ 0 , 0 ,0, 0 ,0]. Example 2: Input:  nums = [3,4,5,2,1,7,3,4,7], k = 3 Output:  3 Explanation:  Modify the array from [3,4, 5 , 2 , 1 ,7,3,4,7] to [3,4, 7 , 3 , 4 ,7,3,4,7]. Example 3: Input:  nums = [1,2,4,1,2,5,1,2,6], k = 3 Output:  3 Explanation:  Modify the array from [1,2, 4, 1,2, 5 ,1,2, 6 ] to [1,2, 3 ,1,2, 3 ,1,2, 3 ].   Constraints: 1 <= k <= nums.length <= 2000 ​​​​​​0 <= nums[i] < 2 10","['Array', 'Dynamic Programming', 'Bit Manipulation']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    int minChanges(vector<int>& nums, int k) {\n        \n    }\n};', 'java': 'class Solution {\n    public int minChanges(int[] nums, int k) {\n        \n    }\n}', 'python3': 'class Solution:\n    def minChanges(self, nums: List[int], k: int) -> int:\n        '}","{'totalAccepted': '6.2K', 'totalSubmission': '15.6K', 'totalAcceptedRaw': 6248, 'totalSubmissionRaw': 15618, 'acRate': '40.0%'}"
1799,maximize-score-after-n-operations,https://leetcode.com/problems/maximize-score-after-n-operations/,Maximize Score After N Operations,"You are given  nums , an array of positive integers of size  2 * n . You must perform  n  operations on this array. In the  i th  operation  (1-indexed) , you will: Choose two elements,  x  and  y . Receive a score of  i * gcd(x, y) . Remove  x  and  y  from  nums . Return  the maximum score you can receive after performing  n  operations. The function  gcd(x, y)  is the greatest common divisor of  x  and  y .   Example 1: Input:  nums = [1,2] Output:  1 Explanation:  The optimal choice of operations is: (1 * gcd(1, 2)) = 1 Example 2: Input:  nums = [3,4,6,8] Output:  11 Explanation:  The optimal choice of operations is: (1 * gcd(3, 6)) + (2 * gcd(4, 8)) = 3 + 8 = 11 Example 3: Input:  nums = [1,2,3,4,5,6] Output:  14 Explanation:  The optimal choice of operations is: (1 * gcd(1, 5)) + (2 * gcd(2, 4)) + (3 * gcd(3, 6)) = 1 + 4 + 9 = 14   Constraints: 1 <= n <= 7 nums.length == 2 * n 1 <= nums[i] <= 10 6","['Array', 'Math', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Number Theory', 'Bitmask']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    int maxScore(vector<int>& nums) {\n        \n    }\n};', 'java': 'class Solution {\n    public int maxScore(int[] nums) {\n        \n    }\n}', 'python3': 'class Solution:\n    def maxScore(self, nums: List[int]) -> int:\n        '}","{'totalAccepted': '66.7K', 'totalSubmission': '115.3K', 'totalAcceptedRaw': 66743, 'totalSubmissionRaw': 115296, 'acRate': '57.9%'}"
1803,count-pairs-with-xor-in-a-range,https://leetcode.com/problems/count-pairs-with-xor-in-a-range/,Count Pairs With XOR in a Range,"Given a  (0-indexed)  integer array  nums  and two integers  low  and  high , return  the number of  nice pairs . A  nice pair  is a pair  (i, j)  where  0 <= i < j < nums.length  and  low <= (nums[i] XOR nums[j]) <= high .   Example 1: Input:  nums = [1,4,2,7], low = 2, high = 6 Output:  6 Explanation:  All nice pairs (i, j) are as follows:     - (0, 1): nums[0] XOR nums[1] = 5      - (0, 2): nums[0] XOR nums[2] = 3     - (0, 3): nums[0] XOR nums[3] = 6     - (1, 2): nums[1] XOR nums[2] = 6     - (1, 3): nums[1] XOR nums[3] = 3     - (2, 3): nums[2] XOR nums[3] = 5 Example 2: Input:  nums = [9,8,4,2,1], low = 5, high = 14 Output:  8 Explanation:  All nice pairs (i, j) are as follows: ​​​​​    - (0, 2): nums[0] XOR nums[2] = 13     - (0, 3): nums[0] XOR nums[3] = 11     - (0, 4): nums[0] XOR nums[4] = 8     - (1, 2): nums[1] XOR nums[2] = 12     - (1, 3): nums[1] XOR nums[3] = 10     - (1, 4): nums[1] XOR nums[4] = 9     - (2, 3): nums[2] XOR nums[3] = 6     - (2, 4): nums[2] XOR nums[4] = 5   Constraints: 1 <= nums.length <= 2 * 10 4 1 <= nums[i] <= 2 * 10 4 1 <= low <= high <= 2 * 10 4","['Array', 'Bit Manipulation', 'Trie']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    int countPairs(vector<int>& nums, int low, int high) {\n        \n    }\n};', 'java': 'class Solution {\n    public int countPairs(int[] nums, int low, int high) {\n        \n    }\n}', 'python3': 'class Solution:\n    def countPairs(self, nums: List[int], low: int, high: int) -> int:\n        '}","{'totalAccepted': '11.2K', 'totalSubmission': '24.4K', 'totalAcceptedRaw': 11185, 'totalSubmissionRaw': 24379, 'acRate': '45.9%'}"
2071,maximum-number-of-tasks-you-can-assign,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign/,Maximum Number of Tasks You Can Assign,"You have  n  tasks and  m  workers. Each task has a strength requirement stored in a  0-indexed  integer array  tasks , with the  i th  task requiring  tasks[i]  strength to complete. The strength of each worker is stored in a  0-indexed  integer array  workers , with the  j th  worker having  workers[j]  strength. Each worker can only be assigned to a  single  task and must have a strength  greater than or equal  to the task's strength requirement (i.e.,  workers[j] >= tasks[i] ). Additionally, you have  pills  magical pills that will  increase a worker's strength  by  strength . You can decide which workers receive the magical pills, however, you may only give each worker  at most one  magical pill. Given the  0-indexed  integer arrays  tasks  and  workers  and the integers  pills  and  strength , return  the  maximum  number of tasks that can be completed.   Example 1: Input:  tasks = [ 3 , 2 , 1 ], workers = [ 0 , 3 , 3 ], pills = 1, strength = 1 Output:  3 Explanation: We can assign the magical pill and tasks as follows: - Give the magical pill to worker 0. - Assign worker 0 to task 2 (0 + 1 >= 1) - Assign worker 1 to task 1 (3 >= 2) - Assign worker 2 to task 0 (3 >= 3) Example 2: Input:  tasks = [ 5 ,4], workers = [ 0 ,0,0], pills = 1, strength = 5 Output:  1 Explanation: We can assign the magical pill and tasks as follows: - Give the magical pill to worker 0. - Assign worker 0 to task 0 (0 + 5 >= 5) Example 3: Input:  tasks = [ 10 , 15 ,30], workers = [ 0 , 10 ,10,10,10], pills = 3, strength = 10 Output:  2 Explanation: We can assign the magical pills and tasks as follows: - Give the magical pill to worker 0 and worker 1. - Assign worker 0 to task 0 (0 + 10 >= 10) - Assign worker 1 to task 1 (10 + 10 >= 15) The last pill is not given because it will not make any worker strong enough for the last task.   Constraints: n == tasks.length m == workers.length 1 <= n, m <= 5 * 10 4 0 <= pills <= m 0 <= tasks[i], workers[j], strength <= 10 9","['Array', 'Two Pointers', 'Binary Search', 'Greedy', 'Queue', 'Sorting', 'Monotonic Queue']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    int maxTaskAssign(vector<int>& tasks, vector<int>& workers, int pills, int strength) {\n        \n    }\n};', 'java': 'class Solution {\n    public int maxTaskAssign(int[] tasks, int[] workers, int pills, int strength) {\n        \n    }\n}', 'python3': 'class Solution:\n    def maxTaskAssign(self, tasks: List[int], workers: List[int], pills: int, strength: int) -> int:\n        '}","{'totalAccepted': '82.4K', 'totalSubmission': '163K', 'totalAcceptedRaw': 82442, 'totalSubmissionRaw': 163005, 'acRate': '50.6%'}"
2111,minimum-operations-to-make-the-array-k-increasing,https://leetcode.com/problems/minimum-operations-to-make-the-array-k-increasing/,Minimum Operations to Make the Array K-Increasing,"You are given a  0-indexed  array  arr  consisting of  n  positive integers, and a positive integer  k . The array  arr  is called  K-increasing  if  arr[i-k] <= arr[i]  holds for every index  i , where  k <= i <= n-1 . For example,  arr = [4, 1, 5, 2, 6, 2]  is K-increasing for  k = 2  because: 	 arr[0] <= arr[2] (4 <= 5) arr[1] <= arr[3] (1 <= 2) arr[2] <= arr[4] (5 <= 6) arr[3] <= arr[5] (2 <= 2) However, the same  arr  is not K-increasing for  k = 1  (because  arr[0] > arr[1] ) or  k = 3  (because  arr[0] > arr[3] ). In one  operation , you can choose an index  i  and  change   arr[i]  into  any  positive integer. Return  the  minimum number of operations  required to make the array K-increasing for the given  k .   Example 1: Input:  arr = [5,4,3,2,1], k = 1 Output:  4 Explanation: For k = 1, the resultant array has to be non-decreasing. Some of the K-increasing arrays that can be formed are [5, 6 , 7 , 8 , 9 ], [ 1 , 1 , 1 , 1 ,1], [ 2 , 2 ,3, 4 , 4 ]. All of them require 4 operations. It is suboptimal to change the array to, for example, [ 6 , 7 , 8 , 9 , 10 ] because it would take 5 operations. It can be shown that we cannot make the array K-increasing in less than 4 operations. Example 2: Input:  arr = [4,1,5,2,6,2], k = 2 Output:  0 Explanation: This is the same example as the one in the problem description. Here, for every index i where 2 <= i <= 5, arr[i-2] <=   arr[i]. Since the given array is already K-increasing, we do not need to perform any operations. Example 3: Input:  arr = [4,1,5,2,6,2], k = 3 Output:  2 Explanation: Indices 3 and 5 are the only ones not satisfying arr[i-3] <= arr[i] for 3 <= i <= 5. One of the ways we can make the array K-increasing is by changing arr[3] to 4 and arr[5] to 5. The array will now be [4,1,5, 4 ,6, 5 ]. Note that there can be other ways to make the array K-increasing, but none of them require less than 2 operations.   Constraints: 1 <= arr.length <= 10 5 1 <= arr[i], k <= arr.length","['Array', 'Binary Search']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    int kIncreasing(vector<int>& arr, int k) {\n        \n    }\n};', 'java': 'class Solution {\n    public int kIncreasing(int[] arr, int k) {\n        \n    }\n}', 'python3': 'class Solution:\n    def kIncreasing(self, arr: List[int], k: int) -> int:\n        '}","{'totalAccepted': '14.7K', 'totalSubmission': '37.5K', 'totalAcceptedRaw': 14745, 'totalSubmissionRaw': 37483, 'acRate': '39.3%'}"
3569,maximize-count-of-distinct-primes-after-split,https://leetcode.com/problems/maximize-count-of-distinct-primes-after-split/,Maximize Count of Distinct Primes After Split,"You are given an integer array  nums  having length  n  and a 2D integer array  queries  where  queries[i] = [idx, val] . For each query: Update  nums[idx] = val . Choose an integer  k  with  1 <= k < n  to split the array into the non-empty prefix  nums[0..k-1]  and suffix  nums[k..n-1]  such that the sum of the counts of  distinct   prime  values in each part is  maximum . Note:  The changes made to the array in one query persist into the next query. Return an array containing the result for each query, in the order they are given.   Example 1: Input:   nums = [2,1,3,1,2], queries = [[1,2],[3,3]] Output:   [3,4] Explanation: Initially  nums = [2, 1, 3, 1, 2] . After 1 st  query,  nums = [2, 2, 3, 1, 2] . Split  nums  into  [2]  and  [2, 3, 1, 2] .  [2]  consists of 1 distinct prime and  [2, 3, 1, 2]  consists of 2 distinct primes. Hence, the answer for this query is  1 + 2 = 3 . After 2 nd  query,  nums = [2, 2, 3, 3, 2] . Split  nums  into  [2, 2, 3]  and  [3, 2]  with an answer of  2 + 2 = 4 . The output is  [3, 4] . Example 2: Input:   nums = [2,1,4], queries = [[0,1]] Output:   [0] Explanation: Initially  nums = [2, 1, 4] . After 1 st  query,  nums = [1, 1, 4] . There are no prime numbers in  nums , hence the answer for this query is 0. The output is  [0] .   Constraints: 2 <= n == nums.length <= 5 * 10 4 1 <= queries.length <= 5 * 10 4 1 <= nums[i] <= 10 5 0 <= queries[i][0] < nums.length 1 <= queries[i][1] <= 10 5","['Array', 'Math', 'Segment Tree', 'Number Theory']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    vector<int> maximumCount(vector<int>& nums, vector<vector<int>>& queries) {\n        \n    }\n};', 'java': 'class Solution {\n    public int[] maximumCount(int[] nums, int[][] queries) {\n        \n    }\n}', 'python3': 'class Solution:\n    def maximumCount(self, nums: List[int], queries: List[List[int]]) -> List[int]:\n        '}","{'totalAccepted': '1.9K', 'totalSubmission': '13.3K', 'totalAcceptedRaw': 1927, 'totalSubmissionRaw': 13295, 'acRate': '14.5%'}"
3574,maximize-subarray-gcd-score,https://leetcode.com/problems/maximize-subarray-gcd-score/,Maximize Subarray GCD Score,"You are given an array of positive integers  nums  and an integer  k . You may perform at most  k  operations. In each operation, you can choose one element in the array and  double  its value. Each element can be doubled  at most  once. The  score  of a contiguous  subarray  is defined as the  product  of its length and the  greatest common divisor (GCD)  of all its elements. Your task is to return the  maximum   score  that can be achieved by selecting a contiguous subarray from the modified array. Note: The  greatest common divisor (GCD)  of an array is the largest integer that evenly divides all the array elements.   Example 1: Input:   nums = [2,4], k = 1 Output:   8 Explanation: Double  nums[0]  to 4 using one operation. The modified array becomes  [4, 4] . The GCD of the subarray  [4, 4]  is 4, and the length is 2. Thus, the maximum possible score is  2 × 4 = 8 . Example 2: Input:   nums = [3,5,7], k = 2 Output:   14 Explanation: Double  nums[2]  to 14 using one operation. The modified array becomes  [3, 5, 14] . The GCD of the subarray  [14]  is 14, and the length is 1. Thus, the maximum possible score is  1 × 14 = 14 . Example 3: Input:   nums = [5,5,5], k = 1 Output:   15 Explanation: The subarray  [5, 5, 5]  has a GCD of 5, and its length is 3. Since doubling any element doesn't improve the score, the maximum score is  3 × 5 = 15 .   Constraints: 1 <= n == nums.length <= 1500 1 <= nums[i] <= 10 9 1 <= k <= n","['Array', 'Math', 'Enumeration', 'Number Theory']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    long long maxGCDScore(vector<int>& nums, int k) {\n        \n    }\n};', 'java': 'class Solution {\n    public long maxGCDScore(int[] nums, int k) {\n        \n    }\n}', 'python3': 'class Solution:\n    def maxGCDScore(self, nums: List[int], k: int) -> int:\n        '}","{'totalAccepted': '4.8K', 'totalSubmission': '22K', 'totalAcceptedRaw': 4822, 'totalSubmissionRaw': 21956, 'acRate': '22.0%'}"
3594,minimum-time-to-transport-all-individuals,https://leetcode.com/problems/minimum-time-to-transport-all-individuals/,Minimum Time to Transport All Individuals,"You are given  n  individuals at a base camp who need to cross a river to reach a destination using a single boat. The boat can carry at most  k  people at a time. The trip is affected by environmental conditions that vary  cyclically  over  m  stages. Each stage  j  has a speed multiplier  mul[j] : If  mul[j] > 1 , the trip slows down. If  mul[j] < 1 , the trip speeds up. Each individual  i  has a rowing strength represented by  time[i] , the time (in minutes) it takes them to cross alone in neutral conditions. Rules: A group  g  departing at stage  j  takes time equal to the  maximum   time[i]  among its members, multiplied by  mul[j]  minutes to reach the destination. After the group crosses the river in time  d , the stage advances by  floor(d) % m  steps. If individuals are left behind, one person must return with the boat. Let  r  be the index of the returning person, the return takes  time[r] × mul[current_stage] , defined as  return_time , and the stage advances by  floor(return_time) % m . Return the  minimum  total time required to transport all individuals. If it is not possible to transport all individuals to the destination, return  -1 .   Example 1: Input:   n = 1, k = 1, m = 2, time = [5], mul = [1.0,1.3] Output:   5.00000 Explanation: Individual 0 departs from stage 0, so crossing time =  5 × 1.00 = 5.00  minutes. All team members are now at the destination. Thus, the total time taken is  5.00  minutes. Example 2: Input:   n = 3, k = 2, m = 3, time = [2,5,8], mul = [1.0,1.5,0.75] Output:   14.50000 Explanation: The optimal strategy is: Send individuals 0 and 2 from the base camp to the destination from stage 0. The crossing time is  max(2, 8) × mul[0] = 8 × 1.00 = 8.00  minutes. The stage advances by  floor(8.00) % 3 = 2 , so the next stage is  (0 + 2) % 3 = 2 . Individual 0 returns alone from the destination to the base camp from stage 2. The return time is  2 × mul[2] = 2 × 0.75 = 1.50  minutes. The stage advances by  floor(1.50) % 3 = 1 , so the next stage is  (2 + 1) % 3 = 0 . Send individuals 0 and 1 from the base camp to the destination from stage 0. The crossing time is  max(2, 5) × mul[0] = 5 × 1.00 = 5.00  minutes. The stage advances by  floor(5.00) % 3 = 2 , so the final stage is  (0 + 2) % 3 = 2 . All team members are now at the destination. The total time taken is  8.00 + 1.50 + 5.00 = 14.50  minutes. Example 3: Input:   n = 2, k = 1, m = 2, time = [10,10], mul = [2.0,2.0] Output:   -1.00000 Explanation: Since the boat can only carry one person at a time, it is impossible to transport both individuals as one must always return. Thus, the answer is  -1.00 .   Constraints: 1 <= n == time.length <= 12 1 <= k <= 5 1 <= m <= 5 1 <= time[i] <= 100 m == mul.length 0.5 <= mul[i] <= 2.0","['Array', 'Dynamic Programming', 'Bit Manipulation', 'Graph', 'Heap (Priority Queue)', 'Shortest Path', 'Bitmask']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    double minTime(int n, int k, int m, vector<int>& time, vector<double>& mul) {\n        \n    }\n};', 'java': 'class Solution {\n    public double minTime(int n, int k, int m, int[] time, double[] mul) {\n        \n    }\n}', 'python3': 'class Solution:\n    def minTime(self, n: int, k: int, m: int, time: List[int], mul: List[float]) -> float:\n        '}","{'totalAccepted': '2.4K', 'totalSubmission': '9.5K', 'totalAcceptedRaw': 2383, 'totalSubmissionRaw': 9533, 'acRate': '25.0%'}"
3605,minimum-stability-factor-of-array,https://leetcode.com/problems/minimum-stability-factor-of-array/,Minimum Stability Factor of Array,"You are given an integer array  nums  and an integer  maxC . A  subarray  is called  stable  if the  highest common factor (HCF)  of all its elements is  greater than or equal to  2. The  stability factor  of an array is defined as the length of its  longest  stable subarray. You may modify  at most   maxC  elements of the array to any integer. Return the  minimum  possible stability factor of the array after at most  maxC  modifications. If no stable subarray remains, return 0. Note: The  highest common factor (HCF)  of an array is the largest integer that evenly divides all the array elements. A  subarray  of length 1 is stable if its only element is greater than or equal to 2, since  HCF([x]) = x .     Example 1: Input:   nums = [3,5,10], maxC = 1 Output:   1 Explanation: The stable subarray  [5, 10]  has  HCF = 5 , which has a stability factor of 2. Since  maxC = 1 , one optimal strategy is to change  nums[1]  to  7 , resulting in  nums = [3, 7, 10] . Now, no subarray of length greater than 1 has  HCF >= 2 . Thus, the minimum possible stability factor is 1. Example 2: Input:   nums = [2,6,8], maxC = 2 Output:   1 Explanation: The subarray  [2, 6, 8]  has  HCF = 2 , which has a stability factor of 3. Since  maxC = 2 , one optimal strategy is to change  nums[1]  to 3 and  nums[2]  to 5, resulting in  nums = [2, 3, 5] . Now, no subarray of length greater than 1 has  HCF >= 2 . Thus, the minimum possible stability factor is 1. Example 3: Input:   nums = [2,4,9,6], maxC = 1 Output:   2 Explanation: The stable subarrays are: 	 [2, 4]  with  HCF = 2  and stability factor of 2. [9, 6]  with  HCF = 3  and stability factor of 2. Since  maxC = 1 , the stability factor of 2 cannot be reduced due to two separate stable subarrays. Thus, the minimum possible stability factor is 2.   Constraints: 1 <= n == nums.length <= 10 5 1 <= nums[i] <= 10 9 0 <= maxC <= n","['Array', 'Math', 'Binary Search', 'Greedy', 'Segment Tree', 'Number Theory']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    int minStable(vector<int>& nums, int maxC) {\n        \n    }\n};', 'java': 'class Solution {\n    public int minStable(int[] nums, int maxC) {\n        \n    }\n}', 'python3': 'class Solution:\n    def minStable(self, nums: List[int], maxC: int) -> int:\n        '}","{'totalAccepted': '2.8K', 'totalSubmission': '16.3K', 'totalAcceptedRaw': 2797, 'totalSubmissionRaw': 16291, 'acRate': '17.2%'}"
3624,number-of-integers-with-popcount-depth-equal-to-k-ii,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-ii/,Number of Integers With Popcount-Depth Equal to K II,"You are given an integer array  nums . For any positive integer  x , define the following sequence: p 0  = x p i+1  = popcount(p i )  for all  i >= 0 , where  popcount(y)  is the number of set bits (1's) in the binary representation of  y . This sequence will eventually reach the value 1. The  popcount-depth  of  x  is defined as the  smallest  integer  d >= 0  such that  p d  = 1 . For example, if  x = 7  (binary representation  ""111"" ). Then, the sequence is:  7 → 3 → 2 → 1 , so the popcount-depth of 7 is 3. You are also given a 2D integer array  queries , where each  queries[i]  is either: [1, l, r, k]  -  Determine  the number of indices  j  such that  l <= j <= r  and the  popcount-depth  of  nums[j]  is equal to  k . [2, idx, val]  -  Update   nums[idx]  to  val . Return an integer array  answer , where  answer[i]  is the number of indices for the  i th  query of type  [1, l, r, k] .   Example 1: Input:   nums = [2,4], queries = [[1,0,1,1],[2,1,1],[1,0,1,0]] Output:   [2,1] Explanation: i queries[i] nums binary( nums ) popcount- 			depth [l, r] k Valid nums[j] updated nums Answer 0 [1,0,1,1] [2,4] [10, 100] [1, 1] [0, 1] 1 [0, 1] — 2 1 [2,1,1] [2,4] [10, 100] [1, 1] — — — [2,1] — 2 [1,0,1,0] [2,1] [10, 1] [1, 0] [0, 1] 0 [1] — 1 Thus, the final  answer  is  [2, 1] . Example 2: Input:   nums = [3,5,6], queries = [[1,0,2,2],[2,1,4],[1,1,2,1],[1,0,1,0]] Output:   [3,1,0] Explanation: i queries[i] nums binary( nums ) popcount- 			depth [l, r] k Valid nums[j] updated nums Answer 0 [1,0,2,2] [3, 5, 6] [11, 101, 110] [2, 2, 2] [0, 2] 2 [0, 1, 2] — 3 1 [2,1,4] [3, 5, 6] [11, 101, 110] [2, 2, 2] — — — [3, 4, 6] — 2 [1,1,2,1] [3, 4, 6] [11, 100, 110] [2, 1, 2] [1, 2] 1 [1] — 1 3 [1,0,1,0] [3, 4, 6] [11, 100, 110] [2, 1, 2] [0, 1] 0 [] — 0 Thus, the final  answer  is  [3, 1, 0] . Example 3: Input:   nums = [1,2], queries = [[1,0,1,1],[2,0,3],[1,0,0,1],[1,0,0,2]] Output:   [1,0,1] Explanation: i queries[i] nums binary( nums ) popcount- 			depth [l, r] k Valid nums[j] updated nums Answer 0 [1,0,1,1] [1, 2] [1, 10] [0, 1] [0, 1] 1 [1] — 1 1 [2,0,3] [1, 2] [1, 10] [0, 1] — — — [3, 2]   2 [1,0,0,1] [3, 2] [11, 10] [2, 1] [0, 0] 1 [] — 0 3 [1,0,0,2] [3, 2] [11, 10] [2, 1] [0, 0] 2 [0] — 1 Thus, the final  answer  is  [1, 0, 1] .   Constraints: 1 <= n == nums.length <= 10 5 1 <= nums[i] <= 10 15 1 <= queries.length <= 10 5 queries[i].length == 3  or  4 queries[i] == [1, l, r, k]  or, queries[i] == [2, idx, val] 0 <= l <= r <= n - 1 0 <= k <= 5 0 <= idx <= n - 1 1 <= val <= 10 15","['Array', 'Segment Tree']",Difícil,Array,False,"{'cpp': 'class Solution {\npublic:\n    vector<int> popcountDepth(vector<long long>& nums, vector<vector<long long>>& queries) {\n        \n    }\n};', 'java': 'class Solution {\n    public int[] popcountDepth(long[] nums, long[][] queries) {\n        \n    }\n}', 'python3': 'class Solution:\n    def popcountDepth(self, nums: List[int], queries: List[List[int]]) -> List[int]:\n        '}","{'totalAccepted': '4.7K', 'totalSubmission': '12.8K', 'totalAcceptedRaw': 4674, 'totalSubmissionRaw': 12823, 'acRate': '36.5%'}"
