modelo,linguagem,slug,id_questao,categoria_declarada,categoria_calculada,categoria_ok,status,aceito,tempo_ms,memoria_mb,submission_id,ground_truth
allam-2-7b,C++,longest-substring-without-repeating-characters,3,actual_correct,invalid,False,Runtime Error,False,,,1771554123,False
allam-2-7b,Java,longest-substring-without-repeating-characters,3,actual_correct,semantic_incorrect,False,Wrong Answer,False,,,1771554260,False
allam-2-7b,Python3,longest-substring-without-repeating-characters,3,actual_correct,invalid,False,Runtime Error,False,,,1771554431,False
deepseek-r1-distill-llama-70b,C++,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,5,11.8,1771554590,False
deepseek-r1-distill-llama-70b,Java,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,5,45.0,1771554733,False
deepseek-r1-distill-llama-70b,Python3,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,11,17.9,1771554856,False
gemma2-9b-it,C++,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,3,11.7,1771555022,False
gemma2-9b-it,Java,longest-substring-without-repeating-characters,3,plausible,actual_correct,False,Accepted,True,6,44.8,1771555158,False
gemma2-9b-it,Python3,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,7,17.8,1771555325,False
llama-3.1-8b-instant,C++,longest-substring-without-repeating-characters,3,plausible,actual_correct,False,Accepted,True,3,11.8,1771555506,False
llama-3.1-8b-instant,Java,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,1,43.4,1771555661,False
llama-3.1-8b-instant,Python3,longest-substring-without-repeating-characters,3,plausible,actual_correct,False,Accepted,True,19,17.7,1771555809,False
llama-3.3-70b-versatile,C++,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,6,11.9,1771555953,False
llama-3.3-70b-versatile,Java,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,2,43.6,1771556125,False
llama-3.3-70b-versatile,Python3,longest-substring-without-repeating-characters,3,actual_correct,invalid,False,Runtime Error,False,,,1771556293,False
llama3-70b-8192,C++,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,8,11.9,1771556487,False
llama3-70b-8192,Java,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,7,44.9,1771556662,False
llama3-70b-8192,Python3,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,12,17.8,1771556805,False
llama3-8b-8192,C++,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,7,11.9,1771556942,False
llama3-8b-8192,Java,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,7,44.6,1771557139,False
llama3-8b-8192,Python3,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,15,18.0,1771557290,False
meta-llama_llama-4-maverick-17b-128e-instruct,C++,longest-substring-without-repeating-characters,3,plausible,actual_correct,False,Accepted,True,7,11.9,1771557444,False
meta-llama_llama-4-maverick-17b-128e-instruct,Java,longest-substring-without-repeating-characters,3,plausible,actual_correct,False,Accepted,True,4,44.5,1771557598,False
meta-llama_llama-4-maverick-17b-128e-instruct,Python3,longest-substring-without-repeating-characters,3,actual_correct,invalid,False,Runtime Error,False,,,1771557767,False
meta-llama_llama-4-scout-17b-16e-instruct,C++,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,4,11.8,1771557896,False
meta-llama_llama-4-scout-17b-16e-instruct,Java,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,5,44.8,1771558047,False
meta-llama_llama-4-scout-17b-16e-instruct,Python3,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,21,17.7,1771558217,False
moonshotai_kimi-k2-instruct,C++,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,0,11.8,1771558382,False
moonshotai_kimi-k2-instruct,Java,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,2,43.6,1771558551,False
moonshotai_kimi-k2-instruct,Python3,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,19,17.7,1771558697,False
qwen_qwen3-32b,C++,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,7,11.8,1771558852,False
qwen_qwen3-32b,Java,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,6,44.4,1771559017,False
qwen_qwen3-32b,Python3,longest-substring-without-repeating-characters,3,actual_correct,actual_correct,True,Accepted,True,11,17.8,1771559162,False
allam-2-7b,C++,longest-palindromic-substring,5,actual_correct,invalid,False,Compile Error,False,,,1771559331,False
allam-2-7b,Java,longest-palindromic-substring,5,actual_correct,invalid,False,Compile Error,False,,,1771559512,False
allam-2-7b,Python3,longest-palindromic-substring,5,plausible,invalid,False,Runtime Error,False,,,1771559663,False
deepseek-r1-distill-llama-70b,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,6,9.4,1771559800,False
deepseek-r1-distill-llama-70b,Java,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,18,42.8,1771559969,False
deepseek-r1-distill-llama-70b,Python3,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,247,17.7,1771560124,False
gemma2-9b-it,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,3,9.2,1771560275,False
gemma2-9b-it,Java,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,18,42.0,1771560465,False
gemma2-9b-it,Python3,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,1468,25.3,1771560639,False
llama-3.1-8b-instant,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,74,164.9,1771560816,False
llama-3.1-8b-instant,Java,longest-palindromic-substring,5,plausible,actual_correct,False,Accepted,True,15,42.2,1771560998,False
llama-3.1-8b-instant,Python3,longest-palindromic-substring,5,plausible,actual_correct,False,Accepted,True,259,17.8,1771561166,False
llama-3.3-70b-versatile,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,87,174.1,1771561320,False
llama-3.3-70b-versatile,Java,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,14,42.6,1771561486,False
llama-3.3-70b-versatile,Python3,longest-palindromic-substring,5,actual_correct,invalid,False,Runtime Error,False,,,1771561653,False
llama3-70b-8192,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,116,26.0,1771561835,False
llama3-70b-8192,Java,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,14,42.0,1771562030,False
llama3-70b-8192,Python3,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,252,17.8,1771562200,False
llama3-8b-8192,C++,longest-palindromic-substring,5,actual_correct,actual_correct,True,Accepted,True,121,232.1,1771562409,False
